provider_id,provider_name,provider_type,specialty,state,network_status
PRV000001,Heritage Medical Clinic,Clinic,Primary Care,IN,Out-of-Network
PRV000002,Dr. Quinn Bennett,Physician,Primary Care,OH,In-Network
PRV000003,Dr. Casey Ellis,Physician,Gastroenterology,OR,Out-of-Network
PRV000004,Blue Ridge Urgent Care,Urgent Care,Urgent Care,AL,Out-of-Network
PRV000005,Pioneer Medical Clinic,Clinic,Multi-Specialty,SC,In-Network
PRV000006,Dr. Hayden Jordan,Physician,Neurology,CA,In-Network
PRV000007,Pioneer Medical Center,Hospital,General Acute Care,NC,Out-of-Network
PRV000008,Dr. Emerson Carter,Physician,Cardiology,PA,In-Network
PRV000009,Dr. Casey Bennett,Physician,Neurology,PA,In-Network
PRV000010,Dr. Rowan Hayes,Physician,Pulmonology,OH,In-Network
PRV000011,Northstar Imaging Center,Imaging Center,Diagnostic Imaging,IA,In-Network
PRV000012,Evergreen Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,TX,Out-of-Network
PRV000013,Dr. Quinn Lewis,Physician,Primary Care,GA,In-Network
PRV000014,Dr. Morgan Jordan,Physician,Pulmonology,CA,In-Network
PRV000015,Dr. Jordan Grant,Physician,OB/GYN,TX,In-Network
PRV000016,Dr. Avery King,Physician,Primary Care,MN,In-Network
PRV000017,Dr. Cameron Bennett,Physician,Pediatrics,IL,In-Network
PRV000018,Pioneer Imaging Center,Imaging Center,Diagnostic Imaging,AZ,In-Network
PRV000019,Westfield Urgent Care,Urgent Care,Urgent Care,CA,In-Network
PRV000020,Dr. Parker Grant,Physician,OB/GYN,IA,In-Network
PRV000021,Dr. Riley Hayes,Physician,Endocrinology,CT,In-Network
PRV000022,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,PA,In-Network
PRV000023,Blue Ridge Medical Clinic,Clinic,Women's Health,NJ,In-Network
PRV000024,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,CA,In-Network
PRV000025,Evergreen Imaging Center,Imaging Center,Diagnostic Imaging,NV,In-Network
PRV000026,Dr. Reese Irwin,Physician,Orthopedics,FL,In-Network
PRV000027,Dr. Reese Jordan,Physician,Cardiology,IN,In-Network
PRV000028,Pioneer Medical Center,Hospital,General Acute Care,OR,In-Network
PRV000029,Dr. Rowan Adams,Physician,Pulmonology,FL,In-Network
PRV000030,Dr. Riley Grant,Physician,Primary Care,FL,Out-of-Network
PRV000031,Dr. Jordan Irwin,Physician,OB/GYN,MA,Out-of-Network
PRV000032,Summit Medical Clinic,Clinic,Multi-Specialty,MA,In-Network
PRV000033,Dr. Reese Davis,Physician,Orthopedics,WI,In-Network
PRV000034,Dr. Emerson Nelson,Physician,Gastroenterology,FL,Out-of-Network
PRV000035,Riverside Medical Clinic,Clinic,Primary Care,CA,In-Network
PRV000036,Dr. Hayden Hayes,Physician,Primary Care,MI,In-Network
PRV000037,Dr. Avery Nelson,Physician,Dermatology,FL,In-Network
PRV000038,Dr. Blake Price,Physician,OB/GYN,PA,In-Network
PRV000039,Dr. Emerson Nelson,Physician,OB/GYN,IL,In-Network
PRV000040,Dr. Avery Jordan,Physician,Primary Care,TX,In-Network
PRV000041,Dr. Casey Bennett,Physician,Gastroenterology,CA,In-Network
PRV000042,Dr. Blake Davis,Physician,Pediatrics,GA,In-Network
PRV000043,Blue Ridge Medical Clinic,Clinic,Pediatrics,NJ,Out-of-Network
PRV000044,Dr. Emerson Bennett,Physician,Primary Care,TX,In-Network
PRV000045,Westfield Medical Clinic,Clinic,Primary Care,TX,In-Network
PRV000046,Dr. Riley Davis,Physician,Neurology,PA,In-Network
PRV000047,Dr. Riley Foster,Physician,Neurology,NY,In-Network
PRV000048,Evergreen Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,TX,Out-of-Network
PRV000049,Dr. Drew Ellis,Physician,Neurology,MO,In-Network
PRV000050,Dr. Drew Grant,Physician,Neurology,CA,In-Network
PRV000051,Dr. Blake Foster,Physician,Dermatology,NC,Out-of-Network
PRV000052,Dr. Taylor Morris,Physician,Endocrinology,NJ,In-Network
PRV000053,Northstar Medical Clinic,Clinic,Multi-Specialty,IA,In-Network
PRV000054,Dr. Casey Price,Physician,Pulmonology,NY,In-Network
PRV000055,Dr. Casey Jordan,Physician,Neurology,CA,In-Network
PRV000056,Evergreen Urgent Care,Urgent Care,Urgent Care,IL,In-Network
PRV000057,Dr. Hayden Davis,Physician,Pediatrics,FL,In-Network
